,Individual,Site,Date_Collected,Date_Processed,Algal_#,Algae_wt_(g),Eyespot,OMU_size,Magnification,Scope,Initials,Size,Julian_Day
119,LS_23Jun12_28,LS,23-Jun-12,9-May-14,2,,0.0,24.0,3.0,H,NM,0.8,175
120,LS_23Jun12_29,LS,23-Jun-12,9-May-14,3,,0.0,25.0,3.0,H,NM,0.833,175
121,LS_23Jun12_3,LS,23-Jun-12,9-May-14,1,,0.0,21.0,3.0,H,NM,0.7,175
122,LS_23Jun12_30,LS,23-Jun-12,9-May-14,3,,0.0,28.0,3.0,H,NM,0.9329999999999999,175
123,LS_23Jun12_31,LS,23-Jun-12,9-May-14,3,,1.0,19.0,3.0,H,NM,0.633,175
124,LS_23Jun12_32,LS,23-Jun-12,9-May-14,3,,1.0,23.0,3.0,H,NM,0.767,175
125,LS_23Jun12_33,LS,23-Jun-12,9-May-14,3,,1.0,21.0,3.0,H,NM,0.7,175
126,LS_23Jun12_34,LS,23-Jun-12,9-May-14,3,,0.0,21.0,3.0,H,NM,0.7,175
127,LS_23Jun12_35,LS,23-Jun-12,9-May-14,3,,1.0,20.0,3.0,H,NM,0.667,175
128,LS_23Jun12_36,LS,23-Jun-12,9-May-14,3,,1.0,22.0,3.0,H,NM,0.733,175
129,LS_23Jun12_37,LS,23-Jun-12,9-May-14,4,,0.0,34.0,3.0,H,NM,1.133,175
130,LS_23Jun12_38,LS,23-Jun-12,9-May-14,4,,1.0,21.0,3.0,H,NM,0.7,175
131,LS_23Jun12_39,LS,23-Jun-12,9-May-14,4,,0.0,23.0,3.0,H,NM,0.767,175
132,LS_23Jun12_4,LS,23-Jun-12,9-May-14,1,,0.0,32.0,3.0,H,NM,1.067,175
133,LS_23Jun12_40,LS,23-Jun-12,9-May-14,4,,0.0,22.0,3.0,H,NM,0.733,175
134,LS_23Jun12_41,LS,23-Jun-12,9-May-14,4,,0.0,30.0,3.0,H,NM,1.0,175
135,LS_23Jun12_42,LS,23-Jun-12,9-May-14,4,,1.0,24.0,3.0,H,NM,0.8,175
136,LS_23Jun12_43,LS,23-Jun-12,9-May-14,5,,1.0,20.0,3.0,H,NM,0.667,175
137,LS_23Jun12_44,LS,23-Jun-12,9-May-14,5,,0.0,31.0,3.0,H,NM,1.033,175
138,LS_23Jun12_45,LS,23-Jun-12,9-May-14,5,,1.0,25.0,3.0,H,NM,0.833,175
139,LS_23Jun12_46,LS,23-Jun-12,9-May-14,5,,1.0,20.0,3.0,H,NM,0.667,175
140,LS_23Jun12_47,LS,23-Jun-12,9-May-14,5,,0.0,74.0,3.0,H,NM,2.4659999999999997,175
141,LS_23Jun12_48,LS,23-Jun-12,9-May-14,5,,1.0,14.0,4.0,H,NM,0.467,175
142,LS_23Jun12_49,LS,23-Jun-12,9-May-14,5,,0.0,30.0,3.0,H,NM,1.0,175
143,LS_23Jun12_5,LS,23-Jun-12,9-May-14,1,,0.0,23.0,3.0,H,NM,0.767,175
144,LS_23Jun12_50,LS,23-Jun-12,9-May-14,5,,0.0,30.0,3.0,H,NM,1.0,175
145,LS_23Jun12_51,LS,23-Jun-12,9-May-14,5,,0.0,21.0,3.0,H,NM,0.7,175
146,LS_23Jun12_52,LS,23-Jun-12,9-May-14,5,,0.0,26.0,3.0,H,NM,0.867,175
147,LS_23Jun12_53,LS,23-Jun-12,9-May-14,5,,0.0,26.0,3.0,H,NM,0.867,175
148,LS_23Jun12_54,LS,23-Jun-12,9-May-14,5,,0.0,24.0,3.0,H,NM,0.8,175
149,LS_23Jun12_55,LS,23-Jun-12,9-May-14,5,,1.0,23.0,3.0,H,NM,0.767,175
150,LS_23Jun12_56,LS,23-Jun-12,9-May-14,5,,1.0,21.0,3.0,H,NM,0.7,175
151,LS_23Jun12_57,LS,23-Jun-12,9-May-14,5,,1.0,11.0,3.0,H,NM,0.36700000000000005,175
152,LS_23Jun12_58,LS,23-Jun-12,9-May-14,5,,0.0,24.0,3.0,H,NM,0.8,175
153,LS_23Jun12_59,LS,23-Jun-12,9-May-14,5,,1.0,33.0,3.0,H,NM,1.1,175
154,LS_23Jun12_6,LS,23-Jun-12,9-May-14,1,,1.0,29.0,3.0,H,NM,0.9670000000000001,175
155,LS_23Jun12_60,LS,23-Jun-12,9-May-14,5,,0.0,30.0,3.0,H,NM,1.0,175
156,LS_23Jun12_61,LS,23-Jun-12,13-May-14,5,,1.0,20.0,3.0,H,NM,0.667,175
157,LS_23Jun12_62,LS,23-Jun-12,13-May-14,5,,0.0,25.0,3.0,H,NM,0.833,175
158,LS_23Jun12_63,LS,23-Jun-12,13-May-14,5,,0.0,25.0,3.0,H,NM,0.833,175
159,LS_23Jun12_64,LS,23-Jun-12,13-May-14,5,,0.0,26.0,3.0,H,NM,0.867,175
160,LS_23Jun12_65,LS,23-Jun-12,13-May-14,5,,0.0,25.0,3.0,H,NM,0.833,175
161,LS_23Jun12_66,LS,23-Jun-12,13-May-14,5,,0.0,21.0,3.0,H,NM,0.7,175
162,LS_23Jun12_67,LS,23-Jun-12,13-May-14,5,,1.0,21.0,3.0,H,NM,0.7,175
163,LS_23Jun12_68,LS,23-Jun-12,13-May-14,5,,1.0,23.0,3.0,H,NM,0.767,175
164,LS_23Jun12_69,LS,23-Jun-12,13-May-14,5,,1.0,22.0,3.0,H,NM,0.733,175
165,LS_23Jun12_7,LS,23-Jun-12,9-May-14,1,,1.0,20.0,3.0,H,NM,0.667,175
166,LS_23Jun12_70,LS,23-Jun-12,13-May-14,5,,0.0,24.0,3.0,H,NM,0.8,175
167,LS_23Jun12_71,LS,23-Jun-12,13-May-14,5,,1.0,18.0,3.0,H,NM,0.6,175
168,LS_23Jun12_72,LS,23-Jun-12,13-May-14,5,,0.0,36.0,3.0,H,NM,1.2,175
169,LS_23Jun12_73,LS,23-Jun-12,13-May-14,5,,1.0,22.0,3.0,H,NM,0.733,175
170,LS_23Jun12_74,LS,23-Jun-12,13-May-14,5,,0.0,30.0,3.0,H,NM,1.0,175
171,LS_23Jun12_75,LS,23-Jun-12,13-May-14,5,,1.0,19.0,3.0,H,NM,0.633,175
172,LS_23Jun12_76,LS,23-Jun-12,13-May-14,5,,1.0,22.0,3.0,H,NM,0.733,175
173,LS_23Jun12_77,LS,23-Jun-12,13-May-14,5,,1.0,20.0,3.0,H,NM,0.667,175
174,LS_23Jun12_78,LS,23-Jun-12,13-May-14,5,,1.0,22.0,3.0,H,NM,0.733,175
175,LS_23Jun12_79,LS,23-Jun-12,13-May-14,5,,0.0,82.0,3.0,H,NM,2.733,175
176,LS_23Jun12_8,LS,23-Jun-12,9-May-14,1,,1.0,18.0,3.0,H,NM,0.6,175
177,LS_23Jun12_80,LS,23-Jun-12,13-May-14,5,,0.0,29.0,3.0,H,NM,0.9670000000000001,175
178,LS_23Jun12_81,LS,23-Jun-12,13-May-14,5,,1.0,21.0,3.0,H,NM,0.7,175
179,LS_23Jun12_82,LS,23-Jun-12,13-May-14,5,,0.0,33.0,3.0,H,NM,1.1,175
180,LS_23Jun12_83,LS,23-Jun-12,13-May-14,5,,0.0,30.0,3.0,H,NM,1.0,175
181,LS_23Jun12_9,LS,23-Jun-12,9-May-14,1,,1.0,23.0,3.0,H,NM,0.767,175
182,LS_28Jun12_1,LS,28-Jun-12,22-May-14,1,,0.0,36.0,4.0,H,NM,0.9,180
183,LS_28Jun12_10,LS,28-Jun-12,22-May-14,1,,1.0,35.0,4.0,H,NM,0.875,180
184,LS_28Jun12_11,LS,28-Jun-12,22-May-14,1,,0.0,44.0,4.0,H,NM,1.1,180
185,LS_28Jun12_12,LS,28-Jun-12,22-May-14,1,,0.0,48.0,4.0,H,NM,1.2,180
186,LS_28Jun12_13,LS,28-Jun-12,22-May-14,1,,0.0,41.0,4.0,H,NM,1.025,180
187,LS_28Jun12_14,LS,28-Jun-12,22-May-14,1,,0.0,41.0,4.0,H,NM,1.025,180
188,LS_28Jun12_15,LS,28-Jun-12,22-May-14,1,,1.0,34.0,4.0,H,NM,0.85,180
189,LS_28Jun12_16,LS,28-Jun-12,22-May-14,1,,1.0,38.0,4.0,H,NM,0.95,180
190,LS_28Jun12_17,LS,28-Jun-12,22-May-14,1,,0.0,47.0,4.0,H,NM,1.175,180
191,LS_28Jun12_18,LS,28-Jun-12,22-May-14,1,,0.0,40.0,4.0,H,NM,1.0,180
192,LS_28Jun12_19,LS,28-Jun-12,22-May-14,1,,0.0,46.0,4.0,H,NM,1.15,180
193,LS_28Jun12_2,LS,28-Jun-12,22-May-14,1,,0.0,42.0,4.0,H,NM,1.05,180
194,LS_28Jun12_20,LS,28-Jun-12,22-May-14,1,,1.0,35.0,4.0,H,NM,0.875,180
195,LS_28Jun12_21,LS,28-Jun-12,22-May-14,1,,0.0,43.0,4.0,H,NM,1.075,180
196,LS_28Jun12_22,LS,28-Jun-12,22-May-14,1,,0.0,55.0,4.0,H,NM,1.375,180
197,LS_28Jun12_23,LS,28-Jun-12,22-May-14,1,,1.0,36.0,4.0,H,NM,0.9,180
198,LS_28Jun12_24,LS,28-Jun-12,22-May-14,1,,1.0,42.0,4.0,H,NM,1.05,180
199,LS_28Jun12_25,LS,28-Jun-12,22-May-14,1,,0.0,43.0,4.0,H,NM,1.075,180
200,LS_28Jun12_26,LS,28-Jun-12,22-May-14,1,,0.0,40.0,4.0,H,NM,1.0,180
201,LS_28Jun12_27,LS,28-Jun-12,22-May-14,1,,0.0,48.0,4.0,H,NM,1.2,180
202,LS_28Jun12_28,LS,28-Jun-12,22-May-14,1,,0.0,45.0,4.0,H,NM,1.125,180
203,LS_28Jun12_29,LS,28-Jun-12,22-May-14,2,,0.0,32.0,4.0,H,NM,0.8,180
204,LS_28Jun12_3,LS,28-Jun-12,22-May-14,1,,1.0,37.0,4.0,H,NM,0.925,180
205,LS_28Jun12_30,LS,28-Jun-12,22-May-14,3,,0.0,46.0,4.0,H,NM,1.15,180
206,LS_28Jun12_31,LS,28-Jun-12,22-May-14,3,,0.0,35.0,4.0,H,NM,0.875,180
207,LS_28Jun12_32,LS,28-Jun-12,22-May-14,3,,0.0,43.0,4.0,H,NM,1.075,180
208,LS_28Jun12_33,LS,28-Jun-12,22-May-14,3,,0.0,36.0,4.0,H,NM,0.9,180
209,LS_28Jun12_34,LS,28-Jun-12,22-May-14,3,,0.0,34.0,4.0,H,NM,0.85,180
210,LS_28Jun12_35,LS,28-Jun-12,22-May-14,4,,1.0,41.0,4.0,H,NM,1.025,180
211,LS_28Jun12_36,LS,28-Jun-12,22-May-14,4,,1.0,45.0,4.0,H,NM,1.125,180
212,LS_28Jun12_37,LS,28-Jun-12,22-May-14,4,,1.0,64.0,4.0,H,NM,1.6,180
213,LS_28Jun12_38,LS,28-Jun-12,22-May-14,4,,1.0,40.0,4.0,H,NM,1.0,180
214,LS_28Jun12_39,LS,28-Jun-12,22-May-14,4,,1.0,31.0,4.0,H,NM,0.775,180
215,LS_28Jun12_4,LS,28-Jun-12,22-May-14,1,,1.0,39.0,4.0,H,NM,0.975,180
216,LS_28Jun12_40,LS,28-Jun-12,22-May-14,4,,1.0,37.0,4.0,H,NM,0.925,180
217,LS_28Jun12_41,LS,28-Jun-12,22-May-14,5,,1.0,31.0,4.0,H,NM,0.775,180
218,LS_28Jun12_42,LS,28-Jun-12,22-May-14,5,,0.0,37.0,4.0,H,NM,0.925,180
219,LS_28Jun12_43,LS,28-Jun-12,22-May-14,5,,1.0,34.0,4.0,H,NM,0.85,180
220,LS_28Jun12_44,LS,28-Jun-12,22-May-14,5,,0.0,37.0,4.0,H,NM,0.925,180
221,LS_28Jun12_45,LS,28-Jun-12,22-May-14,5,,0.0,33.0,4.0,H,NM,0.825,180
222,LS_28Jun12_46,LS,28-Jun-12,22-May-14,5,,0.0,33.0,4.0,H,NM,0.825,180
223,LS_28Jun12_47,LS,28-Jun-12,22-May-14,5,,1.0,24.0,4.0,H,NM,0.6,180
224,LS_28Jun12_48,LS,28-Jun-12,22-May-14,5,,1.0,34.0,4.0,H,NM,0.85,180
225,LS_28Jun12_49,LS,28-Jun-12,22-May-14,5,,1.0,39.0,4.0,H,NM,0.975,180
226,LS_28Jun12_5,LS,28-Jun-12,22-May-14,1,,1.0,48.0,4.0,H,NM,1.2,180
227,LS_28Jun12_50,LS,28-Jun-12,22-May-14,5,,0.0,27.0,4.0,H,NM,0.675,180
228,LS_28Jun12_51,LS,28-Jun-12,22-May-14,5,,0.0,35.0,4.0,H,NM,0.875,180
229,LS_28Jun12_52,LS,28-Jun-12,22-May-14,5,,0.0,68.0,2.0,H,NM,1.35,180
230,LS_28Jun12_53,LS,28-Jun-12,22-May-14,5,,0.0,28.0,4.0,H,NM,0.7,180
231,LS_28Jun12_6,LS,28-Jun-12,22-May-14,1,,0.0,45.0,4.0,H,NM,1.125,180
232,LS_28Jun12_7,LS,28-Jun-12,22-May-14,1,,0.0,36.0,4.0,H,NM,0.9,180
233,LS_28Jun12_8,LS,28-Jun-12,22-May-14,1,,0.0,47.0,4.0,H,NM,1.175,180
234,LS_28Jun12_9,LS,28-Jun-12,22-May-14,1,,1.0,27.0,4.0,H,NM,0.675,180
235,LS_2Jul12_1,LS,2-Jul-12,15-May-14,1,,1.0,36.0,4.0,H,NM,0.9,184
236,LS_2Jul12_10,LS,2-Jul-12,15-May-14,3,,0.0,52.0,4.0,H,NM,1.3,184
237,LS_2Jul12_11,LS,2-Jul-12,15-May-14,3,,1.0,38.0,4.0,H,NM,0.95,184
238,LS_2Jul12_12,LS,2-Jul-12,15-May-14,3,,0.0,55.0,4.0,H,NM,1.375,184
239,LS_2Jul12_13,LS,2-Jul-12,15-May-14,3,,1.0,40.0,4.0,H,NM,1.0,184
240,LS_2Jul12_14,LS,2-Jul-12,15-May-14,3,,1.0,46.0,4.0,H,NM,1.15,184
241,LS_2Jul12_15,LS,2-Jul-12,15-May-14,3,,0.0,52.0,4.0,H,NM,1.3,184
242,LS_2Jul12_16,LS,2-Jul-12,15-May-14,3,,0.0,50.0,4.0,H,NM,1.25,184
243,LS_2Jul12_17,LS,2-Jul-12,15-May-14,3,,0.0,54.0,4.0,H,NM,1.35,184
244,LS_2Jul12_18,LS,2-Jul-12,15-May-14,3,,0.0,46.0,4.0,H,NM,1.15,184
245,LS_2Jul12_19,LS,2-Jul-12,15-May-14,3,,0.0,41.0,4.0,H,NM,1.025,184
246,LS_2Jul12_2,LS,2-Jul-12,15-May-14,2,,1.0,47.0,4.0,H,NM,1.175,184
